Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
26012,,,,,,,,,22821,8034,35.2,1962,8.6,NA
26015,,,,,,,,,1454,1454,100,1,0.07,NA
26016,,,,,,,,,5275,204,3.9,15,0.28,NA
26017,,,,,,,,,81309,17662,21.7,1102,1.36,NA
26018,,,,,,,,,409310,30899,7.5,2607,0.64,NA
26019,,,,,,,,,32936,1376,4.2,87,0.26,NA
26020,,,,,,,,,5347,831,15.5,91,1.7,NA
26021,,,,,,,,,1663,1663,100,6,0.36,NA
26022,,,,,,,,,958,958,100,2,0.21,NA
26023,,,,,,,,,6362,3359,52.8,2,0.03,NA
26024,,,,,,,,,813,813,100,1,0.12,NA
26025,,,,,,,,,54131,11615,21.5,390,0.72,NA
26026,,,,,,,,,60717,28959,47.7,9206,15.16,NA
26027,,,,,,,,,8639,1890,21.9,140,1.62,NA
26028,,,,,,,,,1150,1150,100,0,0,NA
26029,,,,,,,,,149299,20436,13.7,11394,7.63,NA
26030,,,,,,,,,784342,29424,3.8,7403,0.94,NA
26032,,,,,,,,,962,962,100,0,0,NA
26033,,,,,,,,,79313,40334,50.9,8153,10.28,NA
26037,,,,,,,,,1350,1350,100,1,0.07,NA
26038,,,,,,,,,4680,354,7.6,7,0.15,NA
26039,,,,,,,,,6401,337,5.3,54,0.84,NA
26040,,,,,,,,,2051,2051,100,2,0.1,NA
26041,,,,,,,,,12751,1262,9.9,130,1.02,NA
26042,,,,,,,,,157729,41325,26.2,7298,4.63,NA
26043,,,,,,,,,220292,4763,2.2,1825,0.83,NA
26044,,,,,,,,,399,399,100,1,0.25,NA
26046,,,,,,,,,443,443,100,3,0.68,NA
26047,,,,,,,,,9468,1276,13.5,264,2.79,NA
26048,,,,,,,,,57342,586,1,920,1.6,NA
26054,,,,,,,,,492,492,100,0,0,NA
26055,,,,,,,,,178380,10764,6,768,0.43,NA
26056,,,,,,,,,8382,2683,32,1593,19.01,NA
26057,,,,,,,,,1604,1604,100,1,0.06,NA
26058,,,,,,,,,16014,4150,25.9,117,0.73,NA
26059,,,,,,,,,1998,1998,100,10,0.5,NA
26060,,,,,,,,,2703,2703,100,13,0.48,NA
